run_id,run_date,scheduled_at,completed_at,status,records_processed,exception_count
RUN0001,2026-01-01,2026-01-01T06:00:00,2026-01-01T06:18:00,success,311,4
RUN0002,2026-01-02,2026-01-02T06:00:00,2026-01-02T06:18:00,success,312,5
RUN0003,2026-01-03,2026-01-03T06:00:00,2026-01-03T06:18:00,success,313,6
RUN0004,2026-01-04,2026-01-04T06:00:00,2026-01-04T06:18:00,success,314,7
RUN0005,2026-01-05,2026-01-05T06:00:00,2026-01-05T06:18:00,success,315,8
RUN0006,2026-01-06,2026-01-06T06:00:00,2026-01-06T06:18:00,success,316,9
RUN0007,2026-01-07,2026-01-07T06:00:00,2026-01-07T06:18:00,success,317,10
RUN0008,2026-01-08,2026-01-08T06:00:00,2026-01-08T06:18:00,success,318,11
RUN0009,2026-01-09,2026-01-09T06:00:00,2026-01-09T06:18:00,success,319,3
RUN0010,2026-01-10,2026-01-10T06:00:00,2026-01-10T06:18:00,success,320,4
RUN0011,2026-01-11,2026-01-11T06:00:00,2026-01-11T06:18:00,success,321,5
RUN0012,2026-01-12,2026-01-12T06:00:00,2026-01-12T06:18:00,success,322,6
RUN0013,2026-01-13,2026-01-13T06:00:00,2026-01-13T06:18:00,success,323,7
RUN0014,2026-01-14,2026-01-14T06:00:00,2026-01-14T06:18:00,success,324,8
RUN0015,2026-01-15,2026-01-15T06:00:00,2026-01-15T06:18:00,success,325,9
RUN0016,2026-01-16,2026-01-16T06:00:00,2026-01-16T06:18:00,success,326,10
RUN0017,2026-01-17,2026-01-17T06:00:00,2026-01-17T06:18:00,success,327,11
RUN0018,2026-01-18,2026-01-18T06:00:00,2026-01-18T06:18:00,success,328,3
RUN0019,2026-01-19,2026-01-19T06:00:00,2026-01-19T09:05:00,success,329,4
RUN0020,2026-01-20,2026-01-20T06:00:00,2026-01-20T06:18:00,success,330,5
RUN0021,2026-01-21,2026-01-21T06:00:00,2026-01-21T06:18:00,success,331,6
RUN0022,2026-01-22,2026-01-22T06:00:00,2026-01-22T06:18:00,success,332,7
RUN0023,2026-01-23,2026-01-23T06:00:00,2026-01-23T06:18:00,success,333,8
RUN0024,2026-01-24,2026-01-24T06:00:00,2026-01-24T06:18:00,success,334,9
RUN0025,2026-01-25,2026-01-25T06:00:00,2026-01-25T06:18:00,success,335,10
RUN0026,2026-01-26,2026-01-26T06:00:00,2026-01-26T06:18:00,success,336,11
RUN0027,2026-01-27,2026-01-27T06:00:00,2026-01-27T06:18:00,success,337,3
RUN0028,2026-01-28,2026-01-28T06:00:00,2026-01-28T06:18:00,success,338,4
RUN0029,2026-01-29,2026-01-29T06:00:00,2026-01-29T06:18:00,success,339,5
RUN0030,2026-01-30,2026-01-30T06:00:00,2026-01-30T06:18:00,success,340,6
RUN0031,2026-01-31,2026-01-31T06:00:00,2026-01-31T06:18:00,success,341,7
RUN0032,2026-02-01,2026-02-01T06:00:00,2026-02-01T06:18:00,success,342,8
RUN0033,2026-02-02,2026-02-02T06:00:00,2026-02-02T06:18:00,success,343,9
RUN0034,2026-02-03,2026-02-03T06:00:00,2026-02-03T06:18:00,success,344,10
RUN0035,2026-02-04,2026-02-04T06:00:00,2026-02-04T06:18:00,success,345,11
RUN0036,2026-02-05,2026-02-05T06:00:00,2026-02-05T06:18:00,success,346,3
RUN0037,2026-02-06,2026-02-06T06:00:00,2026-02-06T06:18:00,failed,347,16
RUN0038,2026-02-07,2026-02-07T06:00:00,2026-02-07T09:05:00,success,348,5
RUN0039,2026-02-08,2026-02-08T06:00:00,2026-02-08T06:18:00,success,349,6
RUN0040,2026-02-09,2026-02-09T06:00:00,2026-02-09T06:18:00,success,350,7
