event_id,shipment_id,event_type,event_timestamp,source_system
EVT00001_booked,SHP00001,booked,2026-01-08T03:00:00,dispatch_tms
EVT00001_pickup_confirmed,SHP00001,pickup_confirmed,2026-01-09T04:00:00,dispatch_tms
EVT00001_in_transit,SHP00001,in_transit,2026-01-10T05:00:00,dispatch_tms
EVT00001_delivered,SHP00001,delivered,2026-01-11T06:00:00,carrier_portal
EVT00002_booked,SHP00002,booked,2026-01-15T06:00:00,dispatch_tms
EVT00002_pickup_confirmed,SHP00002,pickup_confirmed,2026-01-16T07:00:00,dispatch_tms
EVT00002_in_transit,SHP00002,in_transit,2026-01-17T08:00:00,dispatch_tms
EVT00002_delivered,SHP00002,delivered,2026-01-19T10:00:00,carrier_portal
EVT00003_booked,SHP00003,booked,2026-01-22T09:00:00,dispatch_tms
EVT00003_pickup_confirmed,SHP00003,pickup_confirmed,2026-01-23T10:00:00,dispatch_tms
EVT00003_in_transit,SHP00003,in_transit,2026-01-24T11:00:00,dispatch_tms
EVT00003_delivered,SHP00003,delivered,2026-01-27T14:00:00,carrier_portal
EVT00004_booked,SHP00004,booked,2026-01-29T12:00:00,dispatch_tms
EVT00004_pickup_confirmed,SHP00004,pickup_confirmed,2026-01-30T13:00:00,dispatch_tms
EVT00004_in_transit,SHP00004,in_transit,2026-01-31T14:00:00,dispatch_tms
EVT00004_delivered,SHP00004,delivered,2026-01-31T14:00:00,carrier_portal
EVT00005_booked,SHP00005,booked,2026-02-05T15:00:00,dispatch_tms
EVT00005_pickup_confirmed,SHP00005,pickup_confirmed,2026-02-06T16:00:00,dispatch_tms
EVT00005_in_transit,SHP00005,in_transit,2026-02-07T17:00:00,dispatch_tms
EVT00005_delivered,SHP00005,delivered,2026-02-08T18:00:00,carrier_portal
EVT00006_booked,SHP00006,booked,2026-02-12T18:00:00,dispatch_tms
EVT00006_pickup_confirmed,SHP00006,pickup_confirmed,2026-02-13T19:00:00,dispatch_tms
EVT00006_in_transit,SHP00006,in_transit,2026-02-14T20:00:00,dispatch_tms
EVT00006_delivered,SHP00006,delivered,2026-02-16T22:00:00,carrier_portal
EVT00007_booked,SHP00007,booked,2026-02-19T21:00:00,dispatch_tms
EVT00007_pickup_confirmed,SHP00007,pickup_confirmed,2026-02-20T22:00:00,dispatch_tms
EVT00007_in_transit,SHP00007,in_transit,2026-02-21T23:00:00,dispatch_tms
EVT00007_delivered,SHP00007,delivered,2026-02-24T02:00:00,carrier_portal
EVT00008_booked,SHP00008,booked,2026-02-26T00:00:00,dispatch_tms
EVT00008_pickup_confirmed,SHP00008,pickup_confirmed,2026-02-27T01:00:00,dispatch_tms
EVT00008_in_transit,SHP00008,in_transit,2026-02-28T02:00:00,dispatch_tms
EVT00008_delivered,SHP00008,delivered,2026-03-01T03:00:00,carrier_portal
EVT00009_booked,SHP00009,booked,2026-03-05T03:00:00,dispatch_tms
EVT00009_pickup_confirmed,SHP00009,pickup_confirmed,2026-03-06T04:00:00,dispatch_tms
EVT00009_in_transit,SHP00009,in_transit,2026-03-07T05:00:00,dispatch_tms
EVT00009_delivered,SHP00009,delivered,2026-03-08T06:00:00,carrier_portal
EVT00010_booked,SHP00010,booked,2026-03-12T06:00:00,dispatch_tms
EVT00010_pickup_confirmed,SHP00010,pickup_confirmed,2026-03-13T07:00:00,dispatch_tms
EVT00010_in_transit,SHP00010,in_transit,2026-03-14T08:00:00,dispatch_tms
EVT00010_delivered,SHP00010,delivered,2026-03-16T10:00:00,carrier_portal
EVT00011_booked,SHP00011,booked,2026-03-19T09:00:00,dispatch_tms
EVT00011_pickup_confirmed,SHP00011,pickup_confirmed,2026-03-20T10:00:00,dispatch_tms
EVT00011_in_transit,SHP00011,in_transit,2026-03-21T11:00:00,dispatch_tms
EVT00011_delivered,SHP00011,delivered,2026-03-24T14:00:00,carrier_portal
EVT00012_booked,SHP00012,booked,2026-03-26T12:00:00,dispatch_tms
EVT00012_pickup_confirmed,SHP00012,pickup_confirmed,2026-03-27T13:00:00,dispatch_tms
EVT00012_in_transit,SHP00012,in_transit,2026-03-28T14:00:00,dispatch_tms
EVT00012_delivered,SHP00012,delivered,2026-03-28T14:00:00,carrier_portal
EVT00013_booked,SHP00013,booked,2026-04-02T15:00:00,dispatch_tms
EVT00013_pickup_confirmed,SHP00013,pickup_confirmed,2026-04-03T16:00:00,dispatch_tms
EVT00013_in_transit,SHP00013,in_transit,2026-04-04T17:00:00,dispatch_tms
EVT00013_delivered,SHP00013,delivered,2026-04-05T18:00:00,carrier_portal
EVT00014_booked,SHP00014,booked,2026-04-09T18:00:00,dispatch_tms
EVT00014_pickup_confirmed,SHP00014,pickup_confirmed,2026-04-10T19:00:00,dispatch_tms
EVT00014_in_transit,SHP00014,in_transit,2026-04-11T20:00:00,dispatch_tms
EVT00014_delivered,SHP00014,delivered,2026-04-13T22:00:00,carrier_portal
EVT00015_booked,SHP00015,booked,2026-04-16T21:00:00,dispatch_tms
EVT00015_pickup_confirmed,SHP00015,pickup_confirmed,2026-04-17T22:00:00,dispatch_tms
EVT00015_in_transit,SHP00015,in_transit,2026-04-18T23:00:00,dispatch_tms
EVT00015_delivered,SHP00015,delivered,2026-04-21T02:00:00,carrier_portal
EVT00016_booked,SHP00016,booked,2026-04-23T00:00:00,dispatch_tms
EVT00016_pickup_confirmed,SHP00016,pickup_confirmed,2026-04-24T01:00:00,dispatch_tms
EVT00016_in_transit,SHP00016,in_transit,2026-04-25T02:00:00,dispatch_tms
EVT00016_delivered,SHP00016,delivered,2026-04-25T02:00:00,carrier_portal
EVT00017_booked,SHP00017,booked,2026-04-30T03:00:00,dispatch_tms
EVT00017_pickup_confirmed,SHP00017,pickup_confirmed,2026-05-01T04:00:00,dispatch_tms
EVT00017_in_transit,SHP00017,in_transit,2026-05-02T05:00:00,dispatch_tms
EVT00017_delivered,SHP00017,delivered,2026-05-03T06:00:00,carrier_portal
EVT00018_booked,SHP00018,booked,2026-05-07T06:00:00,dispatch_tms
EVT00018_pickup_confirmed,SHP00018,pickup_confirmed,2026-05-08T07:00:00,dispatch_tms
EVT00018_in_transit,SHP00018,in_transit,2026-05-09T08:00:00,dispatch_tms
EVT00018_delivered,SHP00018,delivered,2026-05-11T10:00:00,carrier_portal
EVT00019_booked,SHP00019,booked,2026-05-14T09:00:00,dispatch_tms
EVT00019_pickup_confirmed,SHP00019,pickup_confirmed,2026-05-15T10:00:00,dispatch_tms
EVT00019_in_transit,SHP00019,in_transit,2026-05-16T11:00:00,dispatch_tms
EVT00019_delivered,SHP00019,delivered,2026-05-19T14:00:00,carrier_portal
EVT00020_booked,SHP00020,booked,2026-05-21T12:00:00,dispatch_tms
EVT00020_pickup_confirmed,SHP00020,pickup_confirmed,2026-05-22T13:00:00,dispatch_tms
EVT00020_in_transit,SHP00020,in_transit,2026-05-23T14:00:00,dispatch_tms
EVT00020_delivered,SHP00020,delivered,2026-05-23T14:00:00,carrier_portal
EVT00021_booked,SHP00021,booked,2026-05-28T15:00:00,dispatch_tms
EVT00021_pickup_confirmed,SHP00021,pickup_confirmed,2026-05-29T16:00:00,dispatch_tms
EVT00021_in_transit,SHP00021,in_transit,2026-05-30T17:00:00,dispatch_tms
EVT00021_delivered,SHP00021,delivered,2026-05-31T18:00:00,carrier_portal
EVT00022_booked,SHP00022,booked,2026-06-04T18:00:00,dispatch_tms
EVT00022_pickup_confirmed,SHP00022,pickup_confirmed,2026-06-05T19:00:00,dispatch_tms
EVT00022_in_transit,SHP00022,in_transit,2026-06-06T20:00:00,dispatch_tms
EVT00022_delivered,SHP00022,delivered,2026-06-08T22:00:00,carrier_portal
EVT00023_booked,SHP00023,booked,2026-06-11T21:00:00,dispatch_tms
EVT00023_pickup_confirmed,SHP00023,pickup_confirmed,2026-06-12T22:00:00,dispatch_tms
EVT00023_in_transit,SHP00023,in_transit,2026-06-13T23:00:00,dispatch_tms
EVT00023_delivered,SHP00023,delivered,2026-06-16T02:00:00,carrier_portal
EVT00024_booked,SHP00024,booked,2026-06-18T00:00:00,dispatch_tms
EVT00024_pickup_confirmed,SHP00024,pickup_confirmed,2026-06-19T01:00:00,dispatch_tms
EVT00024_in_transit,SHP00024,in_transit,2026-06-20T02:00:00,dispatch_tms
EVT00024_delivered,SHP00024,delivered,2026-06-20T02:00:00,carrier_portal
EVT00025_booked,SHP00025,booked,2026-06-25T03:00:00,dispatch_tms
EVT00025_pickup_confirmed,SHP00025,pickup_confirmed,2026-06-26T04:00:00,dispatch_tms
EVT00025_in_transit,SHP00025,in_transit,2026-06-27T05:00:00,dispatch_tms
EVT00025_delivered,SHP00025,delivered,2026-06-28T06:00:00,carrier_portal
EVT00026_booked,SHP00026,booked,2026-01-03T06:00:00,dispatch_tms
EVT00026_pickup_confirmed,SHP00026,pickup_confirmed,2026-01-04T07:00:00,dispatch_tms
EVT00026_in_transit,SHP00026,in_transit,2026-01-05T08:00:00,dispatch_tms
EVT00026_delivered,SHP00026,delivered,2026-01-08T11:00:00,carrier_portal
EVT00027_booked,SHP00027,booked,2026-01-10T09:00:00,dispatch_tms
EVT00027_pickup_confirmed,SHP00027,pickup_confirmed,2026-01-11T10:00:00,dispatch_tms
EVT00027_in_transit,SHP00027,in_transit,2026-01-12T11:00:00,dispatch_tms
EVT00027_delivered,SHP00027,delivered,2026-01-15T14:00:00,carrier_portal
EVT00028_booked,SHP00028,booked,2026-01-17T12:00:00,dispatch_tms
EVT00028_pickup_confirmed,SHP00028,pickup_confirmed,2026-01-18T13:00:00,dispatch_tms
EVT00028_in_transit,SHP00028,in_transit,2026-01-19T14:00:00,dispatch_tms
EVT00028_delivered,SHP00028,delivered,2026-01-19T14:00:00,carrier_portal
EVT00029_booked,SHP00029,booked,2026-01-24T15:00:00,dispatch_tms
EVT00029_pickup_confirmed,SHP00029,pickup_confirmed,2026-01-25T16:00:00,dispatch_tms
EVT00029_in_transit,SHP00029,in_transit,2026-01-26T17:00:00,dispatch_tms
EVT00029_delivered,SHP00029,delivered,2026-01-27T18:00:00,carrier_portal
EVT00030_booked,SHP00030,booked,2026-01-31T18:00:00,dispatch_tms
EVT00030_pickup_confirmed,SHP00030,pickup_confirmed,2026-02-01T19:00:00,dispatch_tms
EVT00030_in_transit,SHP00030,in_transit,2026-02-02T20:00:00,dispatch_tms
EVT00030_delivered,SHP00030,delivered,2026-02-04T22:00:00,carrier_portal
EVT00031_booked,SHP00031,booked,2026-02-07T21:00:00,dispatch_tms
EVT00031_pickup_confirmed,SHP00031,pickup_confirmed,2026-02-08T22:00:00,dispatch_tms
EVT00031_in_transit,SHP00031,in_transit,2026-02-09T23:00:00,dispatch_tms
EVT00031_delivered,SHP00031,delivered,2026-02-12T02:00:00,carrier_portal
EVT00032_booked,SHP00032,booked,2026-02-14T00:00:00,dispatch_tms
EVT00032_pickup_confirmed,SHP00032,pickup_confirmed,2026-02-15T01:00:00,dispatch_tms
EVT00032_in_transit,SHP00032,in_transit,2026-02-16T02:00:00,dispatch_tms
EVT00032_delivered,SHP00032,delivered,2026-02-16T02:00:00,carrier_portal
