shipment_id,booked_date,carrier_id,origin,destination,region,planned_delivery_date,actual_delivery_date,miles,linehaul_usd,eta_missing_flag,pod_missing_flag,on_time_flag
SHP00001,2026-01-08,CAR001,Tucson,Las Vegas,West,2026-01-11,2026-01-11,414,984.94,0,0,1
SHP00002,2026-01-15,CAR002,Phoenix,Dallas,Southwest,2026-01-19,2026-01-19,1065,2447.37,0,0,1
SHP00003,2026-01-22,CAR003,Phoenix,Salt Lake City,West,2026-01-27,2026-01-27,664,1414.27,0,0,1
SHP00004,2026-01-29,CAR004,Scottsdale,Denver,Southwest,2026-01-31,2026-01-31,918,2049.76,0,0,1
SHP00005,2026-02-05,CAR005,Phoenix,Los Angeles,West,2026-02-08,2026-02-08,371,837.34,0,0,1
SHP00006,2026-02-12,CAR001,Tucson,Las Vegas,West,2026-02-16,2026-02-16,414,978.31,0,0,1
SHP00007,2026-02-19,CAR002,Phoenix,Dallas,Southwest,2026-02-24,2026-02-24,1065,2399.31,0,0,1
SHP00008,2026-02-26,CAR003,Phoenix,Salt Lake City,West,2026-02-28,2026-03-01,664,1279.77,0,0,0
SHP00009,2026-03-05,CAR004,Scottsdale,Denver,Southwest,2026-03-08,2026-03-08,918,1719.55,0,0,1
SHP00010,2026-03-12,CAR005,Phoenix,Los Angeles,West,2026-03-16,2026-03-16,371,781.46,0,0,1
SHP00011,2026-03-19,CAR001,Tucson,Las Vegas,West,2026-03-24,2026-03-24,414,752.42,0,0,1
SHP00012,2026-03-26,CAR002,Phoenix,Dallas,Southwest,2026-03-28,2026-03-28,1065,1968.07,0,0,1
SHP00013,2026-04-02,CAR003,Phoenix,Salt Lake City,West,2026-04-05,2026-04-05,664,1289.69,0,0,1
SHP00014,2026-04-09,CAR004,Scottsdale,Denver,Southwest,2026-04-13,2026-04-13,918,2015.83,0,0,1
SHP00015,2026-04-16,CAR005,Phoenix,Los Angeles,West,2026-04-21,2026-04-21,371,771.23,0,0,1
SHP00016,2026-04-23,CAR001,Tucson,Las Vegas,West,2026-04-25,2026-04-25,414,880.82,0,0,1
SHP00017,2026-04-30,CAR002,Phoenix,Dallas,Southwest,2026-05-03,2026-05-03,1065,1959.12,0,0,1
SHP00018,2026-05-07,CAR003,Phoenix,Salt Lake City,West,2026-05-11,2026-05-11,664,1179.65,0,0,1
SHP00019,2026-05-14,CAR004,Scottsdale,Denver,Southwest,2026-05-19,2026-05-19,918,1988.79,0,0,1
SHP00020,2026-05-21,CAR005,Phoenix,Los Angeles,West,2026-05-23,2026-05-23,371,883.38,0,0,1
SHP00021,2026-05-28,CAR001,Tucson,Las Vegas,West,2026-05-31,2026-05-31,414,892.83,0,0,1
SHP00022,2026-06-04,CAR002,Phoenix,Dallas,Southwest,2026-06-08,2026-06-08,1065,2241.49,0,0,1
SHP00023,2026-06-11,CAR003,Phoenix,Salt Lake City,West,2026-06-16,2026-06-16,664,1491.29,0,0,1
SHP00024,2026-06-18,CAR004,Scottsdale,Denver,Southwest,2026-06-20,2026-06-20,918,1810.76,0,0,1
SHP00025,2026-06-25,CAR005,Phoenix,Los Angeles,West,2026-06-28,2026-06-28,371,696.87,0,0,1
SHP00026,2026-01-03,CAR001,Tucson,Las Vegas,West,2026-01-07,2026-01-08,414,862.44,0,0,0
SHP00027,2026-01-10,CAR002,Phoenix,Dallas,Southwest,2026-01-15,2026-01-15,1065,2296.66,0,0,1
SHP00028,2026-01-17,CAR003,Phoenix,Salt Lake City,West,2026-01-19,2026-01-19,664,1526.12,0,0,1
SHP00029,2026-01-24,CAR004,Scottsdale,Denver,Southwest,2026-01-27,2026-01-27,918,1671.32,0,0,1
SHP00030,2026-01-31,CAR005,Phoenix,Los Angeles,West,2026-02-04,2026-02-04,371,779.32,0,0,1
SHP00031,2026-02-07,CAR001,Tucson,Las Vegas,West,2026-02-12,2026-02-12,414,922.83,0,0,1
SHP00032,2026-02-14,CAR002,Phoenix,Dallas,Southwest,2026-02-16,2026-02-16,1065,2440.12,0,0,1
SHP00033,2026-02-21,CAR003,Phoenix,Salt Lake City,West,2026-02-24,2026-02-24,664,1318.0,0,0,1
SHP00034,2026-02-28,CAR004,Scottsdale,Denver,Southwest,2026-03-04,2026-03-04,918,1628.52,0,0,1
SHP00035,2026-03-07,CAR005,Phoenix,Los Angeles,West,2026-03-12,2026-03-12,371,847.91,0,0,1
SHP00036,2026-03-14,CAR001,Tucson,Las Vegas,West,2026-03-16,2026-03-16,414,911.61,0,0,1
SHP00037,2026-03-21,CAR002,Phoenix,Dallas,Southwest,2026-03-24,2026-03-24,1065,1976.91,0,0,1
SHP00038,2026-03-28,CAR003,Phoenix,Salt Lake City,West,2026-04-01,2026-04-01,664,1344.02,0,0,1
SHP00039,2026-04-04,CAR004,Scottsdale,Denver,Southwest,2026-04-09,2026-04-09,918,2014.65,0,0,1
SHP00040,2026-04-11,CAR005,Phoenix,Los Angeles,West,2026-04-13,2026-04-13,371,654.07,0,0,1
SHP00041,2026-04-18,CAR001,Tucson,Las Vegas,West,2026-04-21,2026-04-21,414,865.96,0,0,1
SHP00042,2026-04-25,CAR002,Phoenix,Dallas,Southwest,2026-04-29,2026-04-29,1065,1926.7,0,0,1
SHP00043,2026-05-02,CAR003,Phoenix,Salt Lake City,West,2026-05-07,2026-05-07,664,1550.21,0,0,1
SHP00044,2026-05-09,CAR004,Scottsdale,Denver,Southwest,2026-05-11,2026-05-11,918,2170.67,0,0,1
SHP00045,2026-05-16,CAR005,Phoenix,Los Angeles,West,2026-05-19,2026-05-19,371,778.0,0,0,1
SHP00046,2026-05-23,CAR001,Tucson,Las Vegas,West,2026-05-27,2026-05-27,414,888.77,0,0,1
SHP00047,2026-05-30,CAR002,Phoenix,Dallas,Southwest,2026-06-04,2026-06-04,1065,2394.17,0,0,1
SHP00048,2026-06-06,CAR003,Phoenix,Salt Lake City,West,2026-06-08,2026-06-08,664,1451.11,0,0,1
SHP00049,2026-06-13,CAR004,Scottsdale,Denver,Southwest,2026-06-16,2026-06-16,918,1970.35,0,0,1
SHP00050,2026-06-20,CAR005,Phoenix,Los Angeles,West,2026-06-24,2026-06-24,371,695.3,0,0,1
SHP00051,2026-06-27,CAR001,Tucson,Las Vegas,West,2026-07-02,2026-07-02,414,820.59,0,0,1
SHP00052,2026-01-05,CAR002,Phoenix,Dallas,Southwest,2026-01-07,2026-01-07,1065,2189.72,0,0,1
SHP00053,2026-01-12,CAR003,Phoenix,Salt Lake City,West,2026-01-15,2026-01-15,664,1308.09,0,0,1
SHP00054,2026-01-19,CAR004,Scottsdale,Denver,Southwest,2026-01-23,2026-01-23,918,2119.17,0,0,1
SHP00055,2026-01-26,CAR005,Phoenix,Los Angeles,West,2026-01-31,2026-01-31,371,865.18,0,0,1
SHP00056,2026-02-02,CAR001,Tucson,Las Vegas,West,2026-02-04,2026-02-04,414,795.32,0,0,1
SHP00057,2026-02-09,CAR002,Phoenix,Dallas,Southwest,2026-02-12,2026-02-12,1065,2062.24,0,0,1
SHP00058,2026-02-16,CAR003,Phoenix,Salt Lake City,West,2026-02-20,2026-02-20,664,1551.15,0,0,1
SHP00059,2026-02-23,CAR004,Scottsdale,Denver,Southwest,2026-02-28,2026-02-28,918,1943.8,0,0,1
SHP00060,2026-03-02,CAR005,Phoenix,Los Angeles,West,2026-03-04,2026-03-04,371,650.82,0,0,1
SHP00061,2026-03-09,CAR001,Tucson,Las Vegas,West,2026-03-12,2026-03-12,414,850.44,0,0,1
SHP00062,2026-03-16,CAR002,Phoenix,Dallas,Southwest,2026-03-20,2026-03-21,1065,1923.78,0,0,0
SHP00063,2026-03-23,CAR003,Phoenix,Salt Lake City,West,2026-03-28,2026-03-28,664,1537.25,0,0,1
SHP00064,2026-03-30,CAR004,Scottsdale,Denver,Southwest,2026-04-01,2026-04-01,918,1682.12,0,0,1
SHP00065,2026-04-06,CAR005,Phoenix,Los Angeles,West,2026-04-09,2026-04-09,371,707.31,0,0,1
SHP00066,2026-04-13,CAR001,Tucson,Las Vegas,West,2026-04-17,2026-04-17,414,748.92,0,0,1
SHP00067,2026-04-20,CAR002,Phoenix,Dallas,Southwest,2026-04-25,2026-04-25,1065,2068.19,1,0,1
SHP00068,2026-04-27,CAR003,Phoenix,Salt Lake City,West,2026-04-29,2026-04-29,664,1522.93,0,0,1
SHP00069,2026-05-04,CAR004,Scottsdale,Denver,Southwest,2026-05-07,2026-05-07,918,2171.7,0,0,1
SHP00070,2026-05-11,CAR005,Phoenix,Los Angeles,West,2026-05-15,2026-05-15,371,706.2,0,0,1
SHP00071,2026-05-18,CAR001,Tucson,Las Vegas,West,2026-05-23,2026-05-23,414,958.38,0,0,1
SHP00072,2026-05-25,CAR002,Phoenix,Dallas,Southwest,2026-05-27,2026-05-28,1065,2348.23,0,0,0
SHP00073,2026-06-01,CAR003,Phoenix,Salt Lake City,West,2026-06-04,2026-06-04,664,1234.68,0,0,1
SHP00074,2026-06-08,CAR004,Scottsdale,Denver,Southwest,2026-06-12,2026-06-12,918,2068.56,0,0,1
SHP00075,2026-06-15,CAR005,Phoenix,Los Angeles,West,2026-06-20,2026-06-20,371,872.63,0,0,1
SHP00076,2026-06-22,CAR001,Tucson,Las Vegas,West,2026-06-24,2026-06-24,414,813.46,0,0,1
SHP00077,2026-06-29,CAR002,Phoenix,Dallas,Southwest,2026-07-02,2026-07-02,1065,2292.95,0,0,1
SHP00078,2026-01-07,CAR003,Phoenix,Salt Lake City,West,2026-01-11,2026-01-11,664,1322.0,0,0,1
SHP00079,2026-01-14,CAR004,Scottsdale,Denver,Southwest,2026-01-19,2026-01-19,918,2035.66,0,0,1
SHP00080,2026-01-21,CAR005,Phoenix,Los Angeles,West,2026-01-23,2026-01-24,371,740.4,0,0,0
SHP00081,2026-01-28,CAR001,Tucson,Las Vegas,West,2026-01-31,2026-01-31,414,902.86,0,0,1
SHP00082,2026-02-04,CAR002,Phoenix,Dallas,Southwest,2026-02-08,2026-02-08,1065,2505.95,0,0,1
SHP00083,2026-02-11,CAR003,Phoenix,Salt Lake City,West,2026-02-16,2026-02-16,664,1559.65,0,1,1
SHP00084,2026-02-18,CAR004,Scottsdale,Denver,Southwest,2026-02-20,2026-02-20,918,1788.85,0,0,1
SHP00085,2026-02-25,CAR005,Phoenix,Los Angeles,West,2026-02-28,2026-02-28,371,882.96,0,0,1
SHP00086,2026-03-04,CAR001,Tucson,Las Vegas,West,2026-03-08,2026-03-08,414,958.58,0,0,1
SHP00087,2026-03-11,CAR002,Phoenix,Dallas,Southwest,2026-03-16,2026-03-17,1065,1874.74,0,0,0
SHP00088,2026-03-18,CAR003,Phoenix,Salt Lake City,West,2026-03-20,2026-03-20,664,1445.49,0,0,1
SHP00089,2026-03-25,CAR004,Scottsdale,Denver,Southwest,2026-03-28,2026-03-28,918,2134.54,0,0,1
SHP00090,2026-04-01,CAR005,Phoenix,Los Angeles,West,2026-04-05,2026-04-05,371,806.04,0,0,1
SHP00091,2026-04-08,CAR001,Tucson,Las Vegas,West,2026-04-13,2026-04-13,414,978.75,0,0,1
SHP00092,2026-04-15,CAR002,Phoenix,Dallas,Southwest,2026-04-17,2026-04-17,1065,2355.28,0,0,1
SHP00093,2026-04-22,CAR003,Phoenix,Salt Lake City,West,2026-04-25,2026-04-25,664,1252.67,0,0,1
SHP00094,2026-04-29,CAR004,Scottsdale,Denver,Southwest,2026-05-03,2026-05-03,918,1730.04,0,0,1
SHP00095,2026-05-06,CAR005,Phoenix,Los Angeles,West,2026-05-11,2026-05-11,371,650.85,0,0,1
SHP00096,2026-05-13,CAR001,Tucson,Las Vegas,West,2026-05-15,2026-05-15,414,904.67,0,0,1
